teamIDfg,Team,Season,AVG,OBP,SLG,RBI,batter_SO,batter_BB,batter_war,ERA,SV,K/9,WHIP,oppenent_avg,BABIP,pitcher_war,FP,run_diff,Win_Percentage
26,PHI,1976,0.272,0.338,0.395,708,793,542,32.4,3.1,44,5.66,1.22,0.246,0.279,22.8,0.981,213,0.6234567901234568
27,PIT,1976,0.267,0.321,0.391,660,807,433,28.3,3.37,35,4.68,1.27,0.247,0.272,15.7,0.975,78,0.5679012345679012
28,STL,1976,0.26,0.323,0.359,584,860,512,19.2,3.61,26,4.53,1.37,0.253,0.277,7.9,0.973,-42,0.4444444444444444
29,SDP,1976,0.247,0.31,0.337,528,716,488,18.3,3.65,18,4.1,1.33,0.248,0.268,8.0,0.978,-92,0.4506172839506173
30,SFG,1976,0.246,0.312,0.345,552,778,518,6.9,3.53,31,4.59,1.36,0.256,0.284,15.0,0.971,-91,0.4567901234567901
1,CAL,1977,0.255,0.324,0.386,636,880,542,14.7,3.76,26,6.04,1.36,0.25,0.282,14.7,0.976,-20,0.4567901234567901
2,BAL,1977,0.261,0.329,0.393,677,945,560,26.4,3.75,23,4.57,1.31,0.255,0.275,15.2,0.983,66,0.6024844720496895
3,BOS,1977,0.281,0.345,0.465,828,905,528,29.2,4.16,40,4.78,1.35,0.274,0.294,18.2,0.979,147,0.6024844720496895
4,CHW,1977,0.278,0.344,0.444,809,666,559,19.0,4.25,40,5.25,1.43,0.27,0.297,14.3,0.974,73,0.5555555555555556
5,CLE,1977,0.269,0.334,0.38,631,688,531,14.3,4.09,30,5.43,1.37,0.256,0.282,18.5,0.979,-63,0.4409937888198758
6,DET,1977,0.264,0.318,0.41,676,764,452,13.5,4.13,23,4.84,1.37,0.266,0.284,16.1,0.978,-37,0.4567901234567901
7,KCR,1977,0.277,0.34,0.436,773,687,522,29.7,3.55,42,5.24,1.28,0.246,0.273,20.7,0.978,171,0.6296296296296297
8,MIN,1977,0.282,0.348,0.417,804,754,563,23.7,4.38,25,4.6,1.42,0.272,0.291,11.0,0.978,91,0.5217391304347826
